1,808
2,250
3,74
4,659
5,931
6,273
7,545
8,879
9,924
10,710
11,441
12,166
13,493
14,43
15,988
16,504
17,328
18,730
19,841
20,613
21,304
22,170
23,710
24,158
25,561
26,934
27,100
28,279
29,817
30,336
31,98
32,827
33,513
34,268
35,811
36,634
37,980
38,150
39,580
40,822
41,968
42,673
43,394
44,337
45,486
46,746
47,229
48,92
49,195
50,358
51,2
52,154
53,709
54,945
55,669
56,491
57,125
58,197
59,531
60,904
61,723
62,667
63,550
64,25
65,802
66,854
67,978
68,409
69,229
70,934
71,299
72,982
73,636
74,14
75,866
76,815
77,64
78,537
79,426
80,670
81,116
82,95
83,630
84,502
85,518
86,196
87,106
88,405
89,452
90,299
91,189
92,124
93,506
94,883
95,753
96,567
97,717
98,338
99,439
100,145
101,502
102,898
103,872
104,829
105,138
106,359
107,178
108,398
109,295
110,905
111,610
112,232
113,746
114,176
115,636
116,299
117,143
118,400
119,969
120,413
121,261
122,558
123,595
124,9
125,396
126,969
127,114
128,531
129,7
130,963
131,943
132,366
133,83
134,853
135,768
136,822
137,696
138,713
139,672
140,902
141,591
142,832
143,739
144,58
145,617
146,791
147,641
148,680
149,336
150,7
151,973
152,99
153,96
154,320
155,455
156,224
157,290
158,761
159,906
160,127
161,124
162,507
163,814
164,771
165,239
166,95
167,221
168,845
169,367
170,535
171,227
172,395
173,364
174,739
175,845
176,591
177,551
178,160
179,624
180,948
181,386
182,218
183,273
184,540
185,248
186,386
187,497
188,886
189,624
190,421
191,145
192,969
193,736
194,916
195,626
196,535
197,43
198,12
199,680
200,153
201,245
202,296
203,819
204,397
205,693
206,816
207,992
208,34
209,670
210,398
211,554
212,548
213,826
214,211
215,663
216,212
217,809
218,378
219,762
220,626
221,336
222,869
223,996
224,777
225,768
226,440
227,875
228,332
229,557
230,302
231,873
232,561
233,95
234,985
235,756
236,790
237,408
238,16
239,194
240,770
241,681
242,456
243,856
244,507
245,964
246,503
247,677
248,109
249,250
250,332
251,845
252,639
253,809
254,998
255,652
256,850
257,204
258,732
259,532
260,15
261,420
262,776
263,10
264,181
265,930
266,224
267,55
268,261
269,738
270,546
271,318
272,526
273,201
274,257
275,565
276,598
277,649
278,705
279,551
280,151
281,977
282,413
283,555
284,798
285,505
286,382
287,749
288,66
289,379
290,700
291,210
292,130
293,554
294,484
295,448
296,608
297,774
298,323
299,306
300,177
301,54
302,225
303,631
304,367
305,401
306,445
307,371
308,286
309,17
310,899
311,156
312,134
313,558
314,577
315,179
316,267
317,358
318,712
319,879
320,615
321,820
322,738
323,134
324,592
325,721
326,763
327,634
328,198
329,32
330,589
331,590
332,874
333,878
334,305
335,359
336,201
337,255
338,961
339,916
340,948
341,481
342,731
343,956
344,547
345,108
346,239
347,1
348,927
349,36
350,858
351,114
352,115
353,594
354,361
355,355
356,419
357,358
358,586
359,730
360,16
361,564
362,103
363,918
364,644
365,420
366,968
367,748
368,270
369,396
370,304
371,474
372,104
373,749
374,386
375,659
376,460
377,407
378,931
379,825
380,133
381,974
382,604
383,898
384,921
385,951
386,232
387,481
388,204
389,901
390,521
391,534
392,259
393,4
394,677
395,951
396,935
397,781
398,880
399,833
400,575
401,550
402,543
403,250
404,772
405,311
406,880
407,984
408,971
409,41
410,724
411,651
412,972
413,230
414,319
415,747
416,300
417,231
418,622
419,777
420,125
421,245
422,959
423,697
424,772
425,65
426,561
427,599
428,752
429,941
430,504
431,552
432,802
433,206
434,81
435,419
436,275
437,650
438,414
439,321
440,26
441,13
442,784
443,789
444,118
445,9
446,551
447,325
448,196
449,258
450,512
451,691
452,667
453,411
454,594
455,554
456,566
457,961
458,743
459,404
460,353
461,308
462,142
463,911
464,201
465,800
466,128
467,172
468,788
469,415
470,626
471,642
472,518
473,349
474,843
475,316
476,975
477,446
478,374
479,221
480,912
481,240
482,55
483,306
484,930
485,254
486,190
487,167
488,357
489,305
490,861
491,899
492,593
493,721
494,117
495,581
496,868
497,353
498,940
499,699
500,902
501,812
502,617
503,892
504,672
505,729
506,672
507,662
508,46
509,121
510,241
511,159
512,454
513,628
514,351
515,712
516,564
517,595
518,534
519,728
520,828
521,796
522,532
523,443
524,517
525,7
526,516
527,925
528,602
529,98
530,662
531,104
532,325
533,109
534,937
535,282
536,16
537,711
538,217
539,906
540,974
541,782
542,721
543,792
544,170
545,866
546,828
547,537
548,729
549,126
550,385
551,168
552,950
553,477
554,47
555,577
556,667
557,468
558,521
559,385
560,992
561,211
562,259
563,212
564,745
565,519
566,719
567,935
568,826
569,768
570,690
571,819
572,15
573,826
574,919
575,29
576,30
577,35
578,728
579,241
580,755
581,541
582,397
583,936
584,84
585,49
586,866
587,12
588,253
589,65
590,877
591,238
592,676
593,246
594,711
595,416
596,193
597,711
598,748
599,38
600,300
601,448
602,716
603,694
604,580
605,130
606,165
607,980
608,502
609,526
610,290
611,959
612,34
613,801
614,90
615,671
616,218
617,847
618,39
619,544
620,339
621,937
622,322
623,720
624,497
625,248
626,789
627,360
628,988
629,36
630,236
631,913
632,685
633,990
634,785
635,735
636,668
637,520
638,616
639,46
640,977
641,662
642,826
643,820
644,632
645,904
646,699
647,799
648,640
649,5
650,504
651,680
652,766
653,392
654,108
655,925
656,366
657,122
658,455
659,107
660,451
661,704
662,833
663,33
664,142
665,655
666,978
667,218
668,901
669,290
670,466
671,748
672,623
673,880
674,318
675,517
676,49
677,763
678,30
679,40
680,709
681,904
682,658
683,762
684,753
685,467
686,622
687,558
688,997
689,956
690,931
691,495
692,556
693,222
694,313
695,294
696,428
697,233
698,445
699,792
700,199
701,153
702,857
703,571
704,304
705,440
706,915
707,800
